id,leaf_day(15),flo_day,budburst(9),Leaf_expand(11),GEN.SPA,Force,Light,Chill
BETALL25 HF DB_WS0_9,50,NA,37,40,BET.ALL,W,L,0
COMPER 3 HF DB_WS0_9,NA,NA,NA,NA,COM.PER,W,L,0
VIBACE 7 HF DB_WS0_9,50,NA,35,37,VIB.ACE,W,L,0
ACESAC12 HF DB_WS0_8,NA,NA,NA,NA,ACE.SAC,W,L,0
ILEVER01 HF DB_WS0_8,28,NA,23,26,ILE.VER,W,L,0
VACCOR 5 HF DB_WS0_8,37,NA,30,35,VAC.COR,W,L,0
ACEPEN24 HF DB_WS0_7,90,NA,87,90,ACE.PEN,W,L,0
ACESAC18 HF DB_WS0_7,NA,NA,NA,NA,ACE.SAC,W,L,0
PRUVIR 5 HF DB_WS0_7,56,NA,37,42,PRU.VIR,W,L,0
CORCOR 17 HF DB_WS0_6,93,63,58,58,COR.COR,W,L,0
ILEVER05 HF DB_WS0_6,NA,NA,NA,NA,ILE.VER,W,L,0
PRUPEN 24 HF DB_WS0_6,23,30,16,19,PRU.PEN,W,L,0
BETALL25 HF DB_WS0_5,76,NA,63,65,BET.ALL,W,L,0
ILEMUC 9 HF DB_WS0_5,50,NA,37,42,ILE.MUC,W,L,0
VIBACE09 HF DB_WS0_5,54,NA,33,45,VIB.ACE,W,L,0
BETALL25 HF DB_WS0_4,61,NA,58,58,BET.ALL,W,L,0
CORCOR 16 HF DB_WS0_4,61,NA,50,52,COR.COR,W,L,0
ILEVER07 HF DB_WS0_4,35,NA,28,33,ILE.VER,W,L,0
ACEPEN15 HF DB_WS0_3,70,NA,45,68,ACE.PEN,W,L,0
ACERUB26 HF DB_WS0_3,NA,NA,NA,NA,ACE.RUB,W,L,0
ILEMUC 13 HF DB_WS0_3,NA,NA,NA,NA,ILE.MUC,W,L,0
BETALL33 HF DB_WS0_24,79,NA,76,76,BET.ALL,W,L,0
ILEVER03 HF DB_WS0_24,42,NA,28,33,ILE.VER,W,L,0
VACCOR 89 HF DB_WS0_24,54,23,16,50,VAC.COR,W,L,0
ACERUB23 HF DB_WS0_23,NA,NA,NA,NA,ACE.RUB,W,L,0
ILEVER ? HF DB_WS0_23,26,NA,19,23,ILE.VER,W,L,0
VACCOR 3 HF DB_WS0_23,NA,NA,NA,NA,VAC.COR,W,L,0
ACEPEN15 HF DB_WS0_22,65,NA,54,63,ACE.PEN,W,L,0
ILEVER03 HF DB_WS0_22,NA,NA,19,30,ILE.VER,W,L,0
PRUPEN 22 HF DB_WS0_22,26,33,19,21,PRU.PEN,W,L,0
ACESAC13 HF DB_WS0_21,70,NA,68,68,ACE.SAC,W,L,0
COMPER 6 HF DB_WS0_21,47,21,30,40,COM.PER,W,L,0
PRUVIR 4 HF DB_WS0_21,NA,NA,NA,NA,PRU.VIR,W,L,0
ILEMUC 9 HF DB_WS0_20,45,NA,37,42,ILE.MUC,W,L,0
PRUPEN 22 HF DB_WS0_20,33,26,14,19,PRU.PEN,W,L,0
VIBACE10 HF DB_WS0_20,NA,NA,61,93,VIB.ACE,W,L,0
ACEPEN15 HF DB_WS0_2,54,NA,45,52,ACE.PEN,W,L,0
COMPER 8 HF DB_WS0_2,NA,NA,NA,NA,COM.PER,W,L,0
PRUVIR 6 HF DB_WS0_2,45,50,26,40,PRU.VIR,W,L,0
CORCOR16 HF_WS0_19,NA,73,104,107,COR.COR,W,L,0
PRUPEN 23 HF DB_WS0_19,NA,NA,NA,NA,PRU.PEN,W,L,0
PRUVIR 6 HF DB_WS0_19,NA,NA,93,107,PRU.VIR,W,L,0
ACESAC18 HF DB_WS0_18,NA,NA,NA,NA,ACE.SAC,W,L,0
ILEMUC 10 HF DB_WS0_18,33,33,23,30,ILE.MUC,W,L,0
VIBACE02 HF DB_WS0_18,NA,NA,42,110,VIB.ACE,W,L,0
ACEPEN19 HF DB_WS0_17,65,NA,56,63,ACE.PEN,W,L,0
ACERUB25 HF DB_WS0_17,NA,NA,NA,NA,ACE.RUB,W,L,0
PRUPEN 24 HF DB_WS0_17,21,NA,16,19,PRU.PEN,W,L,0
COMPER 3 HF DB_WS0_16,NA,NA,NA,NA,COM.PER,W,L,0
VACCOR 2 HF DB_WS0_16,28,NA,19,21,VAC.COR,W,L,0
VIBACE02 HF DB_WS0_16,NA,NA,NA,NA,VIB.ACE,W,L,0
ACERUB26 HF DB_WS0_15,NA,NA,NA,NA,ACE.RUB,W,L,0
COMPER 8 HF DB_WS0_15,NA,NA,NA,NA,COM.PER,W,L,0
PRUVIR 6 HF DB_WS0_15,82,96,79,79,PRU.VIR,W,L,0
ACESAC13 HF DB_WS0_14,NA,NA,NA,NA,ACE.SAC,W,L,0
PRUVIR 4 HF DB_WS0_14,56,NA,45,45,PRU.VIR,W,L,0
VACCOR 1 HF DB_WS0_14,37,26,30,35,VAC.COR,W,L,0
ACESAC18 HF DB_WS0_13,NA,NA,NA,NA,ACE.SAC,W,L,0
BETALL25 HF DB_WS0_13,63,NA,35,37,BET.ALL,W,L,0
CORCOR07_HF_WS0_13,NA,NA,90,NA,COR.COR,W,L,0
